date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2023-01-09,Iraq,Saudi Arabia,2.0,0.0,Gulf Cup,Basra,Iraq,False
2023-01-16,Iraq,Qatar,2.0,1.0,Gulf Cup,Basra,Iraq,False
2023-01-28,United States,Colombia,0.0,0.0,Friendly,Carson,United States,False
2023-03-23,Argentina,Panama,2.0,0.0,Friendly,Buenos Aires,Argentina,False
2023-03-24,Australia,Ecuador,3.0,1.0,Friendly,Sydney,Australia,False
2023-03-24,Japan,Uruguay,1.0,1.0,Friendly,Tokyo,Japan,False
2023-03-24,South Korea,Colombia,2.0,2.0,Friendly,Ulsan,South Korea,False
2023-03-24,France,Netherlands,4.0,0.0,UEFA Euro qualification,Paris,France,False
2023-03-24,Sweden,Belgium,0.0,3.0,UEFA Euro qualification,Stockholm,Sweden,False
2023-03-25,Morocco,Brazil,2.0,1.0,Friendly,Tangier,Morocco,False
2023-03-25,Spain,Norway,3.0,0.0,UEFA Euro qualification,Málaga,Spain,False
2023-03-25,Curaçao,Canada,0.0,2.0,CONCACAF Nations League,Willemstad,Curaçao,False
2023-03-28,Argentina,Curaçao,7.0,0.0,Friendly,Santiago del Estero,Argentina,False
2023-03-28,Australia,Ecuador,1.0,2.0,Friendly,Melbourne,Australia,False
2023-03-28,Germany,Belgium,2.0,3.0,Friendly,Cologne,Germany,False
2023-03-28,Japan,Colombia,1.0,2.0,Friendly,Osaka,Japan,False
2023-03-28,South Korea,Uruguay,1.0,2.0,Friendly,Seoul,South Korea,False
2023-03-28,Scotland,Spain,2.0,0.0,UEFA Euro qualification,Glasgow,Scotland,False
2023-03-28,Turkey,Croatia,0.0,2.0,UEFA Euro qualification,Bursa,Turkey,False
2023-04-19,United States,Mexico,1.0,1.0,Friendly,Glendale,United States,False
2023-06-12,Morocco,Cape Verde,0.0,0.0,Friendly,Rabat,Morocco,False
2023-06-14,Netherlands,Croatia,2.0,4.0,UEFA Nations League,Rotterdam,Netherlands,False
2023-06-15,Panama,Canada,0.0,2.0,CONCACAF Nations League,Las Vegas,United States,True
2023-06-15,United States,Mexico,3.0,0.0,CONCACAF Nations League,Las Vegas,United States,False
2023-06-15,Argentina,Australia,2.0,0.0,Friendly,Beijing,China PR,True
2023-06-16,Colombia,Iraq,1.0,0.0,Friendly,Valencia,Spain,True
2023-06-16,Sweden,New Zealand,4.0,1.0,Friendly,Stockholm,Sweden,False
2023-06-17,Norway,Scotland,1.0,2.0,UEFA Euro qualification,Oslo,Norway,False
2023-06-17,Belgium,Austria,1.0,1.0,UEFA Euro qualification,Brussels,Belgium,False
2023-06-17,Portugal,Bosnia and Herzegovina,3.0,0.0,UEFA Euro qualification,Lisbon,Portugal,False
2023-06-17,South Africa,Morocco,2.0,1.0,African Cup of Nations qualification,Johannesburg,South Africa,False
2023-06-18,Panama,Mexico,0.0,1.0,CONCACAF Nations League,Las Vegas,United States,True
2023-06-18,United States,Canada,2.0,0.0,CONCACAF Nations League,Las Vegas,United States,False
2023-06-18,Croatia,Spain,0.0,0.0,UEFA Nations League,Rotterdam,Netherlands,True
2023-06-20,Algeria,Tunisia,1.0,1.0,Friendly,Annaba,Algeria,False
2023-06-20,Brazil,Senegal,2.0,4.0,Friendly,Lisbon,Portugal,True
2023-06-20,Germany,Colombia,0.0,2.0,Friendly,Gelsenkirchen,Germany,False
2023-06-20,Austria,Sweden,2.0,0.0,UEFA Euro qualification,Vienna,Austria,False
2023-06-20,Uzbekistan,Iran,0.0,1.0,CAFA Nations Cup,Tashkent,Uzbekistan,False
2023-06-25,Haiti,Qatar,2.0,1.0,Gold Cup,Houston,United States,True
2023-06-29,Haiti,Mexico,1.0,3.0,Gold Cup,Glendale,United States,True
2023-07-02,Mexico,Qatar,0.0,1.0,Gold Cup,Santa Clara,United States,True
2023-07-08,Panama,Qatar,4.0,0.0,Gold Cup,Arlington,United States,True
2023-07-09,United States,Canada,2.0,2.0,Gold Cup,Cincinnati,United States,False
2023-07-12,United States,Panama,1.0,1.0,Gold Cup,San Diego,United States,False
2023-07-16,Mexico,Panama,1.0,0.0,Gold Cup,Inglewood,United States,True
2023-09-07,Argentina,Ecuador,1.0,0.0,FIFA World Cup qualification,Buenos Aires,Argentina,False
2023-09-07,Norway,Jordan,6.0,0.0,Friendly,Oslo,Norway,False
2023-09-09,Germany,Japan,1.0,4.0,Friendly,Wolfsburg,Germany,False
2023-09-09,Mexico,Australia,2.0,2.0,Friendly,Arlington,United States,True
2023-09-09,United States,Uzbekistan,3.0,0.0,Friendly,St. Louis,United States,False
2023-09-12,Ecuador,Uruguay,2.0,1.0,FIFA World Cup qualification,Quito,Ecuador,False
2023-09-12,Egypt,Tunisia,1.0,3.0,Friendly,Cairo,Egypt,False
2023-09-12,Germany,France,2.0,1.0,Friendly,Dortmund,Germany,False
2023-09-12,Japan,Turkey,4.0,2.0,Friendly,Genk,Belgium,True
2023-09-12,South Korea,Saudi Arabia,1.0,0.0,Friendly,Newcastle,England,True
2023-09-12,Mexico,Uzbekistan,3.0,3.0,Friendly,Atlanta,United States,True
2023-09-12,Scotland,England,1.0,3.0,Friendly,Glasgow,Scotland,False
2023-09-12,Senegal,Algeria,0.0,1.0,Friendly,Diamniadio,Senegal,False
2023-09-12,South Africa,DR Congo,1.0,0.0,Friendly,Johannesburg,South Africa,False
2023-09-12,Sweden,Austria,1.0,3.0,UEFA Euro qualification,Stockholm,Sweden,False
2023-10-12,Colombia,Uruguay,2.0,2.0,FIFA World Cup qualification,Barranquilla,Colombia,False
2023-10-12,Argentina,Paraguay,1.0,0.0,FIFA World Cup qualification,Buenos Aires,Argentina,False
2023-10-12,Algeria,Cape Verde,5.0,1.0,Friendly,Constantine,Algeria,False
2023-10-12,Spain,Scotland,2.0,0.0,UEFA Euro qualification,Seville,Spain,False
2023-10-12,Croatia,Turkey,0.0,1.0,UEFA Euro qualification,Osijek,Croatia,False
2023-10-13,Curaçao,Panama,1.0,2.0,CONCACAF Nations League,Willemstad,Curaçao,False
2023-10-13,DR Congo,New Zealand,1.0,1.0,Friendly,Murcia,Spain,True
2023-10-13,England,Australia,1.0,0.0,Friendly,London,England,False
2023-10-13,Iraq,Qatar,0.0,0.0,Friendly,Amman,Jordan,True
2023-10-13,Japan,Canada,4.0,1.0,Friendly,Niigata,Japan,False
2023-10-13,South Korea,Tunisia,4.0,0.0,Friendly,Seoul,South Korea,False
2023-10-13,Netherlands,France,1.0,2.0,UEFA Euro qualification,Amsterdam,Netherlands,False
2023-10-13,Austria,Belgium,2.0,3.0,UEFA Euro qualification,Vienna,Austria,False
2023-10-14,Ivory Coast,Morocco,1.0,1.0,Friendly,Abidjan,Ivory Coast,False
2023-10-14,Mexico,Ghana,2.0,0.0,Friendly,Charlotte,United States,True
2023-10-14,United States,Germany,1.0,3.0,Friendly,East Hartford,United States,False
2023-10-15,Norway,Spain,0.0,1.0,UEFA Euro qualification,Oslo,Norway,False
2023-10-16,Algeria,Egypt,1.0,1.0,Friendly,Al Ain,United Arab Emirates,True
2023-10-16,Belgium,Sweden,1.0,1.0,UEFA Euro qualification,Brussels,Belgium,False
2023-10-16,Bosnia and Herzegovina,Portugal,0.0,5.0,UEFA Euro qualification,Zenica,Bosnia and Herzegovina,False
2023-10-17,Ecuador,Colombia,0.0,0.0,FIFA World Cup qualification,Quito,Ecuador,False
2023-10-17,Uruguay,Brazil,2.0,0.0,FIFA World Cup qualification,Montevideo,Uruguay,False
2023-10-17,Australia,New Zealand,2.0,0.0,Soccer Ashes,Brentford,England,True
2023-10-17,France,Scotland,4.0,1.0,Friendly,Lille,France,False
2023-10-17,Ivory Coast,South Africa,1.0,1.0,Friendly,Abidjan,Ivory Coast,False
2023-10-17,Mexico,Germany,2.0,2.0,Friendly,Philadelphia,United States,True
2023-10-17,United States,Ghana,4.0,0.0,Friendly,Nashville,United States,False
2023-11-16,Colombia,Brazil,2.0,1.0,FIFA World Cup qualification,Barranquilla,Colombia,False
2023-11-16,Argentina,Uruguay,0.0,2.0,FIFA World Cup qualification,Buenos Aires,Argentina,False
2023-11-18,Germany,Turkey,2.0,3.0,Friendly,Berlin,Germany,False
2023-11-19,Scotland,Norway,3.0,3.0,UEFA Euro qualification,Glasgow,Scotland,False
2023-11-21,Paraguay,Colombia,0.0,1.0,FIFA World Cup qualification,Asunción,Paraguay,False
2023-11-21,Brazil,Argentina,0.0,1.0,FIFA World Cup qualification,Rio de Janeiro,Brazil,False
2023-11-21,Uzbekistan,Iran,2.0,2.0,FIFA World Cup qualification,Tashkent,Uzbekistan,False
2023-11-21,Jordan,Saudi Arabia,0.0,2.0,FIFA World Cup qualification,Amman,Jordan,False
2023-11-21,Austria,Germany,2.0,0.0,Friendly,Vienna,Austria,False
2023-12-16,Mexico,Colombia,2.0,3.0,Friendly,Los Angeles,United States,True
2024-01-05,Qatar,Jordan,1.0,2.0,Friendly,Al Rayyan,Qatar,False
2024-01-06,Iraq,South Korea,0.0,1.0,Friendly,Abu Dhabi,United Arab Emirates,True
2024-01-09,Japan,Jordan,6.0,1.0,Friendly,Doha,Qatar,True
2024-01-10,Tunisia,Cape Verde,2.0,0.0,Friendly,Radès,Tunisia,False
2024-01-14,Ghana,Cape Verde,1.0,2.0,African Cup of Nations,Abidjan,Ivory Coast,True
2024-01-18,Egypt,Ghana,2.0,2.0,African Cup of Nations,Abidjan,Ivory Coast,True
2024-01-19,Iraq,Japan,2.0,1.0,AFC Asian Cup,Al Rayyan,Qatar,True
2024-01-20,Jordan,South Korea,2.0,2.0,AFC Asian Cup,Doha,Qatar,True
2024-01-21,Morocco,DR Congo,1.0,1.0,African Cup of Nations,San-Pédro,Ivory Coast,True
2024-01-22,Cape Verde,Egypt,2.0,2.0,African Cup of Nations,Abidjan,Ivory Coast,True
2024-01-23,Australia,Uzbekistan,1.0,1.0,AFC Asian Cup,Al Wakrah,Qatar,True
2024-01-24,South Africa,Tunisia,0.0,0.0,African Cup of Nations,Korhogo,Ivory Coast,True
2024-01-28,Egypt,DR Congo,1.0,1.0,African Cup of Nations,San-Pédro,Ivory Coast,True
2024-01-29,Iraq,Jordan,2.0,3.0,AFC Asian Cup,Al Rayyan,Qatar,True
2024-01-29,Ivory Coast,Senegal,1.0,1.0,African Cup of Nations,Yamoussoukro,Ivory Coast,False
2024-01-30,Saudi Arabia,South Korea,1.0,1.0,AFC Asian Cup,Al Rayyan,Qatar,True
2024-01-30,Morocco,South Africa,0.0,2.0,African Cup of Nations,San-Pédro,Ivory Coast,True
2024-02-02,Australia,South Korea,1.0,2.0,AFC Asian Cup,Al Wakrah,Qatar,True
2024-02-03,Iran,Japan,2.0,1.0,AFC Asian Cup,Al Rayyan,Qatar,True
2024-02-03,Qatar,Uzbekistan,1.0,1.0,AFC Asian Cup,Al Khor,Qatar,False
2024-02-03,Cape Verde,South Africa,0.0,0.0,African Cup of Nations,Yamoussoukro,Ivory Coast,True
2024-02-06,Jordan,South Korea,2.0,0.0,AFC Asian Cup,Al Rayyan,Qatar,True
2024-02-07,Qatar,Iran,3.0,2.0,AFC Asian Cup,Doha,Qatar,False
2024-02-07,Ivory Coast,DR Congo,1.0,0.0,African Cup of Nations,Ebimpé,Ivory Coast,False
2024-02-10,Qatar,Jordan,3.0,1.0,AFC Asian Cup,Lusail,Qatar,False
2024-02-10,South Africa,DR Congo,0.0,0.0,African Cup of Nations,Abidjan,Ivory Coast,True
2024-03-21,Panama,Mexico,0.0,3.0,CONCACAF Nations League,Arlington,United States,True
2024-03-21,Portugal,Sweden,5.0,2.0,Friendly,Guimarães,Portugal,False
2024-03-22,Egypt,New Zealand,1.0,0.0,FIFA Series,Cairo,Egypt,False
2024-03-22,Netherlands,Scotland,4.0,0.0,Friendly,Amsterdam,Netherlands,False
2024-03-22,Norway,Czech Republic,1.0,2.0,Friendly,Oslo,Norway,False
2024-03-22,Spain,Colombia,0.0,1.0,Friendly,London,England,True
2024-03-23,Tunisia,Croatia,0.0,0.0,FIFA Series,Cairo,Egypt,True
2024-03-23,England,Brazil,0.0,1.0,Friendly,London,England,False
2024-03-23,France,Germany,0.0,2.0,Friendly,Lyon,France,False
2024-03-24,United States,Mexico,2.0,0.0,CONCACAF Nations League,Arlington,United States,False
2024-03-26,Algeria,South Africa,3.0,3.0,FIFA Series,Algiers,Algeria,False
2024-03-26,Egypt,Croatia,2.0,4.0,FIFA Series,Cairo,Egypt,False
2024-03-26,New Zealand,Tunisia,0.0,0.0,FIFA Series,Cairo,Egypt,True
2024-03-26,Austria,Turkey,6.0,1.0,Friendly,Vienna,Austria,False
2024-03-26,England,Belgium,2.0,2.0,Friendly,London,England,False
2024-03-26,Germany,Netherlands,2.0,1.0,Friendly,Frankfurt,Germany,False
2024-03-26,Ivory Coast,Uruguay,2.0,1.0,Friendly,Lens,France,True
2024-03-26,Spain,Brazil,3.0,3.0,Friendly,Madrid,Spain,False
2024-06-03,England,Bosnia and Herzegovina,3.0,0.0,Friendly,Newcastle,England,False
2024-06-05,Mexico,Uruguay,0.0,4.0,Friendly,Denver,United States,True
2024-06-06,Netherlands,Canada,4.0,0.0,Friendly,Rotterdam,Netherlands,False
2024-06-06,Senegal,DR Congo,1.0,1.0,FIFA World Cup qualification,Diamniadio,Senegal,False
2024-06-08,Mexico,Brazil,2.0,3.0,Friendly,College Station,United States,True
2024-06-08,Portugal,Croatia,1.0,2.0,Friendly,Oeiras,Portugal,False
2024-06-08,Switzerland,Austria,1.0,1.0,Friendly,St. Gallen,Switzerland,False
2024-06-08,United States,Colombia,1.0,5.0,Friendly,Landover,United States,False
2024-06-09,Argentina,Ecuador,1.0,0.0,Friendly,Chicago,United States,True
2024-06-09,France,Canada,0.0,0.0,Friendly,Bordeaux,France,False
2024-06-11,Iran,Uzbekistan,0.0,0.0,FIFA World Cup qualification,Tehran,Iran,False
2024-06-11,Saudi Arabia,Jordan,1.0,2.0,FIFA World Cup qualification,Riyadh,Saudi Arabia,False
2024-06-12,United States,Brazil,1.0,1.0,Friendly,Orlando,United States,False
2024-06-14,Germany,Scotland,5.0,1.0,UEFA Euro,Munich,Germany,False
2024-06-15,Spain,Croatia,3.0,0.0,UEFA Euro,Berlin,Germany,True
2024-06-16,Panama,Paraguay,0.0,1.0,Friendly,Panama City,Panama,False
2024-06-17,Austria,France,0.0,1.0,UEFA Euro,Düsseldorf,Germany,True
2024-06-18,Portugal,Czech Republic,2.0,1.0,UEFA Euro,Leipzig,Germany,True
2024-06-19,Scotland,Switzerland,1.0,1.0,UEFA Euro,Cologne,Germany,True
2024-06-20,Argentina,Canada,2.0,0.0,Copa América,Atlanta,United States,True
2024-06-21,Netherlands,France,0.0,0.0,UEFA Euro,Leipzig,Germany,True
2024-06-22,Turkey,Portugal,0.0,3.0,UEFA Euro,Dortmund,Germany,True
2024-06-23,Germany,Switzerland,1.0,1.0,UEFA Euro,Frankfurt,Germany,False
2024-06-23,Uruguay,Panama,3.0,1.0,Copa América,Miami Gardens,United States,True
2024-06-24,Colombia,Paraguay,2.0,1.0,Copa América,Houston,United States,True
2024-06-25,Netherlands,Austria,2.0,3.0,UEFA Euro,Berlin,Germany,True
2024-06-26,Czech Republic,Turkey,1.0,2.0,UEFA Euro,Hamburg,Germany,True
2024-06-27,United States,Panama,1.0,2.0,Copa América,Atlanta,United States,False
2024-06-28,Paraguay,Brazil,1.0,4.0,Copa América,Las Vegas,United States,True
2024-06-30,Mexico,Ecuador,0.0,0.0,Copa América,Glendale,United States,True
2024-07-01,France,Belgium,1.0,0.0,UEFA Euro,Düsseldorf,Germany,True
2024-07-01,United States,Uruguay,0.0,1.0,Copa América,Kansas City,United States,False
2024-07-02,Austria,Turkey,1.0,2.0,UEFA Euro,Leipzig,Germany,True
